Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,18/03/2021 08:25,MCG,Richmond,Carlton,105 - 80
2,1,19/03/2021 08:50,MCG,Collingwood,Western Bulldogs,53 - 69
3,1,20/03/2021 02:45,MCG,Melbourne,Fremantle,80 - 58
4,1,20/03/2021 05:35,Adelaide Oval,Adelaide Crows,Geelong Cats,103 - 91
5,1,20/03/2021 08:25,Marvel Stadium,Essendon,Hawthorn,91 - 92
6,1,20/03/2021 08:45,Gabba,Brisbane Lions,Sydney Swans,94 - 125
7,1,21/03/2021 02:10,Marvel Stadium,North Melbourne,Port Adelaide,65 - 117
8,1,21/03/2021 04:20,GIANTS Stadium,GWS Giants,St Kilda,78 - 86
9,1,21/03/2021 07:10,Optus Stadium,West Coast Eagles,Gold Coast Suns,83 - 58
10,2,25/03/2021 08:20,MCG,Carlton,Collingwood,85 - 106
11,2,26/03/2021 08:50,GMHBA Stadium,Geelong Cats,Brisbane Lions,81 - 80
12,2,27/03/2021 02:45,SCG,Sydney Swans,Adelaide Crows,121 - 88
13,2,27/03/2021 05:35,Adelaide Oval,Port Adelaide,Essendon,119 - 65
14,2,27/03/2021 08:25,Marvel Stadium,St Kilda,Melbourne,73 - 91
15,2,27/03/2021 09:10,Metricon Stadium,Gold Coast Suns,North Melbourne,98 - 39
16,2,28/03/2021 02:10,MCG,Hawthorn,Richmond,49 - 78
17,2,28/03/2021 04:20,Marvel Stadium,Western Bulldogs,West Coast Eagles,100 - 93
18,2,28/03/2021 07:10,Optus Stadium,Fremantle,GWS Giants,87 - 56
19,3,01/04/2021 08:40,Marvel Stadium,Collingwood,Brisbane Lions,72 - 73
20,3,02/04/2021 05:20,Marvel Stadium,North Melbourne,Western Bulldogs,39 - 167
21,3,02/04/2021 08:50,Adelaide Oval,Adelaide Crows,Gold Coast Suns,95 - 85
22,3,03/04/2021 02:45,MCG,Richmond,Sydney Swans,72 - 117
23,3,03/04/2021 05:35,Marvel Stadium,Essendon,St Kilda,143 - 68
24,3,03/04/2021 09:10,Optus Stadium,West Coast Eagles,Port Adelaide,108 - 71
25,3,04/04/2021 05:20,Marvel Stadium,Carlton,Fremantle,109 - 64
26,3,04/04/2021 08:10,Manuka Oval,GWS Giants,Melbourne,68 - 102
27,3,05/04/2021 05:20,MCG,Geelong Cats,Hawthorn,69 - 64
28,4,08/04/2021 09:20,SCG,Sydney Swans,Essendon,83 - 80
29,4,09/04/2021 09:50,Adelaide Oval,Port Adelaide,Richmond,79 - 77
