Round Number,Date,Location,Home Team,Away Team,Result
1,19/03/2020 08:40,MCG,Richmond,Carlton,105 - 81
1,20/03/2020 08:50,Marvel Stadium,Western Bulldogs,Collingwood,34 - 86
1,21/03/2020 03:10,Marvel Stadium,Essendon,Fremantle,63 - 57
1,21/03/2020 06:05,Adelaide Oval,Adelaide Crows,Sydney Swans,71 - 74
1,21/03/2020 08:40,GIANTS Stadium,GWS Giants,Geelong Cats,105 - 73
1,21/03/2020 08:40,Metricon Stadium,Gold Coast Suns,Port Adelaide,29 - 76
1,22/03/2020 02:05,Marvel Stadium,North Melbourne,St Kilda,56 - 54
1,22/03/2020 04:35,MCG,Hawthorn,Brisbane Lions,90 - 62
1,22/03/2020 07:40,Optus Stadium,West Coast Eagles,Melbourne,78 - 51
2,11/06/2020 09:40,MCG,Collingwood,Richmond,36 - 36
2,12/06/2020 09:50,GMHBA Stadium,Geelong Cats,Hawthorn,108 - 47
2,13/06/2020 03:45,Gabba,Brisbane Lions,Fremantle,81 - 69
2,13/06/2020 06:35,Marvel Stadium,Carlton,Melbourne,53 - 54
2,13/06/2020 09:40,Metricon Stadium,Gold Coast Suns,West Coast Eagles,90 - 46
2,13/06/2020 09:40,Adelaide Oval,Port Adelaide,Adelaide Crows,110 - 35
2,14/06/2020 03:05,GIANTS Stadium,GWS Giants,North Melbourne,60 - 80
2,14/06/2020 05:35,SCG,Sydney Swans,Essendon,73 - 79
2,14/06/2020 08:05,Marvel Stadium,St Kilda,Western Bulldogs,88 - 49
3,18/06/2020 09:40,MCG,Richmond,Hawthorn,39 - 71
3,19/06/2020 09:50,Marvel Stadium,Western Bulldogs,GWS Giants,57 - 33
3,20/06/2020 03:45,Marvel Stadium,North Melbourne,Sydney Swans,60 - 71
3,20/06/2020 06:35,MCG,Collingwood,St Kilda,81 - 37
3,20/06/2020 09:40,Gabba,Brisbane Lions,West Coast Eagles,74 - 44
3,20/06/2020 09:40,GMHBA Stadium,Geelong Cats,Carlton,77 - 79
3,21/06/2020 05:05,Metricon Stadium,Gold Coast Suns,Adelaide Crows,82 - 29
