Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,16/03/2023 08:20,MCG,Richmond,Carlton,58 - 58
2,1,17/03/2023 08:40,MCG,Geelong Cats,Collingwood,103 - 125
3,1,18/03/2023 02:45,Marvel Stadium,North Melbourne,West Coast Eagles,87 - 82
4,1,18/03/2023 05:35,Adelaide Oval,Port Adelaide,Brisbane Lions,126 - 72
5,1,18/03/2023 08:25,MCG,Melbourne,Western Bulldogs,115 - 65
6,1,18/03/2023 09:00,Heritage Bank Stadium,Gold Coast Suns,Sydney Swans,61 - 110
7,1,19/03/2023 02:10,GIANTS Stadium,GWS Giants,Adelaide Crows,106 - 90
8,1,19/03/2023 04:20,MCG,Hawthorn,Essendon,65 - 124
9,1,19/03/2023 05:40,Marvel Stadium,St Kilda,Fremantle,67 - 52
10,2,23/03/2023 08:20,MCG,Carlton,Geelong Cats,90 - 82
11,2,24/03/2023 08:50,Gabba,Brisbane Lions,Melbourne,93 - 82
12,2,25/03/2023 02:45,MCG,Collingwood,Port Adelaide,135 - 64
13,2,25/03/2023 05:35,Adelaide Oval,Adelaide Crows,Richmond,76 - 108
14,2,25/03/2023 08:25,Marvel Stadium,Western Bulldogs,St Kilda,41 - 92
15,2,25/03/2023 08:30,Optus Stadium,Fremantle,North Melbourne,72 - 73
16,2,26/03/2023 02:10,SCG,Sydney Swans,Hawthorn,118 - 37
17,2,26/03/2023 04:20,Marvel Stadium,Essendon,Gold Coast Suns,108 - 80
18,2,26/03/2023 07:20,Optus Stadium,West Coast Eagles,GWS Giants,100 - 81
19,3,30/03/2023 08:20,Marvel Stadium,Western Bulldogs,Brisbane Lions,67 - 53
20,3,31/03/2023 08:50,MCG,Collingwood,Richmond,63 - 49
21,3,01/04/2023 02:45,University of Tasmania Stadium,Hawthorn,North Melbourne,80 - 61
22,3,01/04/2023 05:35,GIANTS Stadium,GWS Giants,Carlton,64 - 74
23,3,01/04/2023 08:25,MCG,St Kilda,Essendon,92 - 74
24,3,01/04/2023 08:30,Adelaide Oval,Port Adelaide,Adelaide Crows,86 - 117
25,3,02/04/2023 04:10,Heritage Bank Stadium,Gold Coast Suns,Geelong Cats,73 - 54
26,3,02/04/2023 05:20,MCG,Melbourne,Sydney Swans,135 - 84
27,3,02/04/2023 07:20,Optus Stadium,Fremantle,West Coast Eagles,108 - 67
28,4,06/04/2023 09:35,Gabba,Brisbane Lions,Collingwood,116 - 83
29,4,07/04/2023 06:20,Marvel Stadium,North Melbourne,Carlton,84 - 107
30,4,08/04/2023 03:45,Adelaide Oval,Adelaide Crows,Fremantle,111 - 72
31,4,08/04/2023 06:35,MCG,Richmond,Western Bulldogs,84 - 89
32,4,08/04/2023 09:30,Marvel Stadium,St Kilda,Gold Coast Suns,113 - 60
